URN,A-level Maths VA,A-level Maths VA lower,A-level Maths VA upper,P8MEAMAT,P8MEAMAT lower,P8MEAMAT upper
139841,-0.85,-1.66,-0.05,0.05,-0.15,0.26
103514,-0.35,-0.77,0.06,-0.06,-0.23,0.11
139746,-0.1,-0.53,0.33,0.29,0.08,0.51
137034,-0.23,-0.92,0.47,-0.13,-0.33,0.08
103519,-0.34,-0.91,0.23,-0.36,-0.55,-0.16
136778,-0.25,-0.5,0.0,0.94,0.72,1.16
138136,0.21,-0.19,0.62,0.0,-0.18,0.17
137053,0.07,-0.32,0.46,0.21,0.01,0.4
103531,-0.22,-0.69,0.25,1.01,0.78,1.24
141835,0.46,-0.04,0.95,0.45,0.24,0.67
137988,0.07,-0.13,0.27,0.84,0.62,1.06
140524,-0.51,-0.89,-0.13,0.16,-0.08,0.39
147707,-0.07,-0.83,0.69,0.27,0.05,0.49
146124,0.1,-0.62,0.83,-0.26,-0.47,-0.05
143562,0.2,-0.04,0.43,0.82,0.57,1.06
143435,0.21,-0.39,0.81,-0.64,-0.83,-0.46
137047,-0.19,-0.46,0.09,0.63,0.39,0.87
137046,-0.33,-0.54,-0.12,0.37,0.14,0.6
137044,-0.32,-0.59,-0.05,0.42,0.16,0.68
137045,-0.25,-0.46,-0.04,1.1,0.81,1.39
137043,-0.22,-0.46,0.01,0.21,-0.04,0.46
136908,-0.13,-0.58,0.33,-0.17,-0.35,0.01
138695,-0.54,-1.45,0.37,-0.46,-0.7,-0.22
103560,-0.37,-0.77,0.02,0.13,-0.08,0.35
136590,-0.15,-0.51,0.2,0.24,0.0,0.48
103563,-0.37,-1.35,0.61,-0.25,-0.45,-0.05
103564,,,,,,
103567,0.35,-0.25,0.95,,,
137560,,,,,,
141242,,,,,,
146999,-1.7,-2.4,-1.01,,,
103576,,,,,,
103585,-0.07,-0.48,0.33,,,
103587,0.74,0.21,1.26,,,
103591,,,,,,
131164,,,,,,
134571,,,,,,
134908,,,,,,
135561,,,,,,
149402,0.37,-0.17,0.91,,,
136221,,,,,,
136152,-0.47,-1.14,0.19,-0.1,-0.31,0.1
135970,0.46,-0.11,1.02,0.12,-0.12,0.36
136032,0.25,-0.37,0.87,-0.34,-0.56,-0.13
130461,,,,-1.97,-2.33,-1.62
130466,-0.95,-1.38,-0.52,,,
130468,0.38,0.11,0.64,,,
142339,-0.93,-1.38,-0.48,0.73,0.46,1.0
140366,0.14,-0.49,0.76,-0.14,-0.37,0.09
140961,-0.72,-1.12,-0.32,-0.18,-0.45,0.09
141939,0.45,-0.24,1.15,0.01,-0.27,0.3
141992,0.02,-0.59,0.62,0.1,-0.12,0.31
145179,-0.38,-0.92,0.15,0.42,0.19,0.65
146436,0.0,-0.91,0.91,-0.12,-0.35,0.11
138023,0.14,-0.37,0.64,-0.21,-0.37,-0.04
139292,-0.37,-0.81,0.06,0.29,0.11,0.48
142960,-1.9,-2.75,-1.04,-0.9,-1.14,-0.65
137209,-1.06,-1.64,-0.47,-0.4,-0.62,-0.19
140248,-0.03,-0.41,0.34,0.39,0.22,0.57
136963,0.56,0.21,0.92,0.15,-0.04,0.34
137225,-0.37,-0.97,0.24,0.1,-0.18,0.38
147345,-0.4,-0.94,0.14,0.19,-0.04,0.41
147346,-0.14,-0.53,0.24,0.24,0.05,0.43
137272,-0.23,-0.58,0.13,0.21,0.03,0.4
143105,0.75,0.02,1.47,,,
103750,-0.13,-0.56,0.31,,,
103751,0.12,-0.3,0.54,,,
135335,-1.07,-1.79,-0.34,0.05,-0.21,0.3
136126,-0.14,-0.52,0.23,0.08,-0.13,0.29
140126,-0.85,-1.61,-0.09,-0.15,-0.4,0.09
103870,-0.23,-0.63,0.18,0.57,0.24,0.9
136618,-0.39,-0.8,0.02,0.14,-0.04,0.33
130475,-0.29,-0.57,0.0,,,
130476,-1.06,-1.35,-0.76,,,
148142,-0.06,-0.19,0.07,,,
137673,-0.63,-1.36,0.09,-0.57,-0.74,-0.4
139918,,,,-0.63,-0.83,-0.43
141813,-1.09,-1.95,-0.24,,,
146383,-1.24,-2.22,-0.25,-1.23,-1.4,-1.05
147881,0.02,-0.48,0.52,-0.09,-0.33,0.16
136616,0.22,-0.28,0.72,0.05,-0.14,0.23
136091,-0.54,-0.97,-0.12,-0.11,-0.28,0.05
104018,0.1,-0.88,1.08,-0.15,-0.33,0.03
134993,-0.23,-0.53,0.08,0.21,0.0,0.42
135170,-0.09,-0.56,0.39,0.24,0.05,0.44
135234,-0.35,-0.97,0.27,-0.14,-0.32,0.04
135449,-0.38,-1.0,0.24,-0.3,-0.51,-0.1
135599,-1.27,-2.03,-0.51,-1.16,-1.36,-0.96
130479,-0.34,-0.59,-0.09,,,
142900,-1.16,-1.71,-0.6,-0.9,-1.15,-0.65
146379,,,,-1.36,-1.57,-1.15
136310,0.15,-0.14,0.44,0.68,0.49,0.86
136994,0.28,-0.07,0.63,0.6,0.41,0.8
136333,0.08,-0.23,0.38,0.36,0.19,0.53
136909,-0.04,-0.95,0.86,-0.15,-0.36,0.07
148094,0.07,-0.28,0.41,0.45,0.24,0.66
136347,-0.25,-0.94,0.45,-0.37,-0.57,-0.17
104124,0.35,0.05,0.64,,,
129342,,,,-0.12,-0.37,0.12
135971,-0.22,-1.2,0.77,-0.44,-0.64,-0.23
130481,,,,,,
144887,-0.17,-0.33,-0.02,,,
138374,-0.28,-0.79,0.23,0.14,-0.08,0.36
138606,-0.28,-1.19,0.63,-0.15,-0.4,0.11
137830,0.33,-0.17,0.84,0.07,-0.12,0.27
142594,-0.83,-1.56,-0.11,-0.47,-0.69,-0.26
104255,0.14,-0.34,0.63,0.01,-0.2,0.22
137707,0.37,-0.12,0.86,-0.06,-0.24,0.12
104259,-0.31,-1.03,0.42,-0.77,-0.96,-0.58
136620,-0.2,-0.82,0.43,-0.84,-1.04,-0.64
136777,-0.55,-0.89,-0.21,0.3,0.06,0.54
136773,-0.38,-0.56,-0.2,0.98,0.74,1.22
137974,-0.17,-0.73,0.38,-0.16,-0.35,0.02
136885,-0.77,-1.12,-0.42,0.33,0.14,0.51
133697,0.38,-0.1,0.85,-0.28,-0.49,-0.07
135769,0.08,-0.73,0.88,-0.72,-0.91,-0.53
135956,-1.46,-2.31,-0.61,-0.06,-0.29,0.17
138098,-1.0,-1.6,-0.39,0.03,-0.19,0.25
141245,-0.04,-0.63,0.54,-0.15,-0.38,0.08
142080,0.53,-0.06,1.11,0.38,0.13,0.62
144278,-0.6,-1.59,0.38,-0.49,-0.73,-0.25
140160,-0.72,-1.52,0.08,0.63,0.25,1.01
145008,-1.2,-2.0,-0.4,-0.63,-0.84,-0.43
145114,-0.68,-1.26,-0.1,-0.65,-0.86,-0.43
145134,,,,-0.47,-0.73,-0.21
147113,-0.97,-1.88,-0.06,-0.35,-0.66,-0.03
142317,-0.6,-0.92,-0.28,0.52,0.34,0.7
104395,-1.84,-2.44,-1.23,-0.33,-0.56,-0.1
137730,0.05,-0.52,0.62,0.52,0.31,0.73
138852,-0.1,-0.61,0.41,-0.27,-0.48,-0.06
139891,0.37,-0.17,0.91,0.16,-0.06,0.37
141802,,,,-0.91,-1.12,-0.7
140604,-0.52,-0.86,-0.18,,,
140798,-0.45,-0.75,-0.15,0.42,0.17,0.67
139138,-0.73,-1.34,-0.13,-0.42,-0.63,-0.21
143101,0.22,-0.18,0.62,0.25,-0.02,0.53
104407,,,,,,
104411,-0.33,-0.78,0.13,,,
130484,-0.27,-1.18,0.64,,,
139588,-0.43,-0.9,0.03,-0.11,-0.37,0.15
139589,0.57,-0.16,1.29,-0.76,-1.07,-0.44
139686,-0.37,-0.69,-0.04,0.32,0.07,0.56
147477,0.63,0.28,0.99,,,
148226,-0.88,-1.65,-0.12,-1.52,-1.71,-1.32
148792,-0.67,-1.65,0.32,-0.53,-0.77,-0.3
150373,,,,,,
150713,0.27,-0.71,1.25,,,
138696,0.2,-0.4,0.8,-0.21,-0.43,0.02
104688,-1.58,-2.3,-0.85,-0.04,-0.27,0.19
104698,0.28,-0.15,0.72,-0.28,-0.46,-0.09
104700,,,,-0.55,-0.76,-0.33
104703,0.69,0.3,1.09,0.58,0.31,0.85
104705,-0.55,-1.04,-0.07,0.49,0.27,0.72
138183,,,,-0.68,-0.92,-0.44
104712,-1.26,-2.24,-0.27,-0.49,-0.71,-0.26
104713,-1.47,-2.38,-0.56,-0.99,-1.2,-0.79
104714,-0.08,-0.53,0.37,-0.25,-0.44,-0.05
104715,,,,-0.82,-1.05,-0.59
104717,0.01,-0.58,0.59,-0.52,-0.74,-0.3
138850,-0.5,-1.03,0.02,-0.04,-0.25,0.18
104721,0.54,0.02,1.07,-0.24,-0.46,-0.02
137916,0.02,-0.19,0.22,0.74,0.51,0.96
136735,-0.09,-0.47,0.29,-0.27,-0.49,-0.05
138878,,,,,,
131065,0.79,0.29,1.3,0.16,-0.05,0.36
135174,-0.21,-0.65,0.23,-0.38,-0.62,-0.14
136119,-1.24,-1.97,-0.52,-1.31,-1.6,-1.03
130487,-1.09,-1.68,-0.51,,,
132033,,,,,,
144327,-0.4,-1.04,0.24,0.02,-0.15,0.19
104829,-1.02,-1.61,-0.44,-1.04,-1.23,-0.84
144326,-0.75,-1.45,-0.06,-0.22,-0.39,-0.05
136141,,,,0.1,-0.09,0.28
130489,0.41,0.24,0.58,,,
141338,,,,-0.81,-1.08,-0.54
137533,-0.65,-1.2,-0.09,-0.62,-0.82,-0.43
137436,-0.21,-0.75,0.33,0.13,-0.08,0.35
137514,-0.51,-1.05,0.03,-0.13,-0.33,0.06
137612,0.65,0.09,1.22,-0.13,-0.34,0.08
137520,,,,-0.64,-0.85,-0.44
104960,-0.72,-1.45,0.0,-0.65,-0.85,-0.45
104962,-0.65,-1.5,0.2,-0.19,-0.42,0.05
104964,,,,-0.6,-0.88,-0.32
104972,0.2,-0.56,0.96,,,
104973,0.74,0.28,1.19,,,
104974,-0.16,-0.89,0.56,,,
130490,-0.01,-0.52,0.51,,,
130491,-0.75,-1.08,-0.43,,,
143554,,,,-1.23,-1.47,-0.99
137171,-0.36,-0.74,0.02,-0.16,-0.38,0.06
137243,-0.22,-0.61,0.18,0.19,-0.04,0.42
138355,0.46,-0.53,1.44,-0.63,-0.84,-0.42
105103,-0.61,-1.6,0.37,-0.7,-0.92,-0.49
136895,,,,-1.05,-1.28,-0.82
137815,-1.0,-1.53,-0.46,-0.59,-0.78,-0.4
105107,,,,-0.28,-0.51,-0.06
139031,0.25,-0.42,0.91,-0.58,-0.76,-0.4
139144,0.37,0.11,0.63,0.59,0.39,0.79
137476,0.17,-0.17,0.52,0.28,0.04,0.51
136780,0.64,0.27,1.02,0.32,0.08,0.56
137929,-0.29,-0.65,0.08,0.63,0.4,0.86
105123,-0.31,-0.93,0.31,,,
135877,-0.54,-1.52,0.44,0.02,-0.24,0.28
144829,0.16,-0.06,0.39,,,
141941,,,,-0.72,-1.39,-0.05
105253,0.11,-0.44,0.67,-0.2,-0.38,-0.02
143773,-0.45,-1.07,0.17,0.08,-0.11,0.26
105264,-0.17,-0.7,0.35,-0.42,-0.61,-0.24
144044,-0.18,-0.55,0.19,0.05,-0.13,0.22
105269,,,,,,
105271,-0.03,-0.37,0.31,,,
105272,-0.57,-1.04,-0.11,,,
131867,0.13,-0.12,0.37,,,
134195,-0.46,-1.37,0.45,-0.01,-0.55,0.53
105372,1.5,0.65,2.35,,,
105373,-0.13,-0.57,0.32,,,
130498,-0.2,-0.56,0.15,,,
130499,-0.13,-0.3,0.04,,,
139730,-0.08,-0.68,0.53,,,
143729,-0.11,-0.73,0.51,0.31,0.1,0.52
143260,-0.56,-0.93,-0.19,0.02,-0.15,0.2
141264,-0.64,-1.33,0.06,0.33,0.14,0.52
137801,-0.03,-0.38,0.31,0.24,0.06,0.43
137309,0.36,-0.17,0.88,0.31,0.03,0.59
105588,-0.56,-1.18,0.06,,,
105591,0.59,0.37,0.8,,,
105592,0.08,-0.33,0.48,,,
105594,-0.26,-0.78,0.27,,,
105595,-0.02,-0.37,0.34,,,
105601,-1.98,-2.74,-1.22,,,
135296,0.1,-0.29,0.48,0.65,0.42,0.87
130503,-0.01,-0.11,0.09,,,
130504,-0.28,-0.43,-0.13,,,
141248,-0.39,-1.03,0.25,-0.24,-0.42,-0.06
137133,0.0,-0.24,0.25,0.26,0.08,0.44
137294,-0.24,-0.73,0.25,-0.05,-0.21,0.12
105745,-0.1,-0.65,0.45,,,
145002,0.18,-0.04,0.4,,,
144463,0.27,0.12,0.42,,,
105844,-0.66,-1.2,-0.12,-0.15,-0.35,0.06
105992,,,,,,
130509,-0.36,-0.58,-0.15,,,
137923,0.11,-0.35,0.56,0.27,0.09,0.45
137843,-0.25,-0.52,0.02,0.86,0.68,1.05
106156,0.12,-0.33,0.58,,,
106157,0.07,-0.28,0.42,,,
130514,0.19,0.0,0.38,,,
145894,-1.04,-1.73,-0.34,0.73,0.5,0.97
130516,0.58,-0.07,1.22,,,
146816,-0.14,-0.36,0.07,,,
138614,-0.04,-0.95,0.87,0.03,-0.21,0.27
106368,-0.15,-0.54,0.23,0.38,0.14,0.61
136498,0.02,-0.23,0.27,0.3,0.07,0.52
136377,0.47,0.02,0.92,0.24,0.06,0.43
138123,-0.08,-0.77,0.62,0.2,0.01,0.39
106376,0.01,-0.54,0.57,-0.05,-0.23,0.13
136458,0.04,-0.15,0.24,1.29,1.05,1.53
136297,0.03,-0.23,0.3,0.67,0.42,0.91
137289,-0.1,-0.36,0.16,0.8,0.57,1.03
138134,0.17,-0.12,0.45,0.99,0.75,1.22
138464,-0.3,-0.61,0.0,0.47,0.21,0.72
130519,-0.59,-0.99,-0.19,,,
106534,-0.31,-1.22,0.6,-0.48,-0.67,-0.29
106538,-0.11,-0.64,0.41,-0.15,-0.34,0.04
130521,-0.1,-0.9,0.71,,,
130522,0.05,-0.08,0.17,,,
130523,-0.47,-0.71,-0.23,,,
106653,0.57,0.25,0.89,0.43,0.26,0.6
130524,-0.9,-1.12,-0.69,-2.29,-2.61,-1.97
143938,-0.49,-1.35,0.36,-0.24,-0.46,-0.02
144364,-1.11,-1.73,-0.48,-0.26,-0.48,-0.05
144714,0.38,0.14,0.61,,,
147838,-0.22,-0.75,0.32,0.2,-0.04,0.43
137603,-0.13,-0.57,0.32,0.28,0.09,0.47
138116,,,,-0.46,-0.69,-0.23
137842,-0.18,-0.47,0.1,0.68,0.51,0.85
140865,-0.04,-0.51,0.44,-0.18,-0.38,0.02
106812,-0.64,-1.08,-0.2,,,
135007,-0.7,-1.19,-0.2,-0.52,-0.73,-0.32
135963,,,,-0.32,-0.53,-0.11
143141,0.67,-0.05,1.4,-0.15,-0.37,0.07
145848,-0.21,-0.58,0.16,0.05,-0.11,0.22
150938,,,,,,
140646,-0.07,-0.41,0.26,0.15,-0.01,0.3
136718,0.27,-0.27,0.81,0.02,-0.15,0.19
136301,0.47,-0.18,1.11,-0.13,-0.31,0.05
136331,0.63,0.03,1.23,0.13,-0.04,0.29
136042,-1.12,-1.88,-0.36,-0.51,-0.73,-0.29
145230,0.06,-0.21,0.34,,,
139695,-0.3,-0.71,0.11,-0.72,-1.02,-0.43
140547,0.6,0.07,1.12,-0.16,-0.36,0.03
140940,-0.5,-0.83,-0.16,,,
142605,-0.95,-1.71,-0.19,-0.17,-0.47,0.13
145864,,,,-0.02,-0.27,0.23
145897,-0.59,-0.96,-0.21,1.84,1.56,2.11
139167,0.11,-0.17,0.38,0.68,0.48,0.88
138841,0.28,-0.04,0.61,0.74,0.53,0.95
138069,0.2,-0.05,0.46,0.56,0.39,0.74
145455,0.18,-0.11,0.47,0.78,0.59,0.98
107140,-0.36,-0.61,-0.12,0.08,-0.13,0.29
138545,0.25,-0.17,0.68,-0.06,-0.22,0.11
138361,0.11,-0.19,0.42,0.57,0.37,0.77
138337,0.14,-0.28,0.57,-0.25,-0.46,-0.04
149427,,,,-3.61,-4.31,-2.9
107163,0.73,0.27,1.19,,,
107166,0.02,-0.48,0.52,,,
131122,,,,,,
131895,-0.1,-0.7,0.5,-0.48,-0.69,-0.27
130531,-1.61,-2.25,-0.97,,,
144886,0.54,-0.04,1.13,,,
148520,0.65,0.13,1.16,-0.39,-0.57,-0.22
143112,0.21,-0.7,1.12,-0.53,-0.71,-0.36
138087,,,,-0.07,-0.29,0.15
143689,-0.01,-0.28,0.27,,,
143704,-0.4,-0.62,-0.19,,,
139975,-0.15,-0.48,0.19,0.41,0.23,0.59
107395,0.35,-0.17,0.86,-0.37,-0.56,-0.19
149011,-1.26,-1.99,-0.54,-0.44,-0.62,-0.26
149299,,,,-0.64,-0.88,-0.41
150001,-0.28,-1.19,0.63,-0.81,-1.01,-0.6
136905,0.1,-0.25,0.45,0.31,0.14,0.48
136962,,,,0.01,-0.26,0.28
142590,-0.06,-0.66,0.54,-0.88,-1.06,-0.71
107439,-0.09,-0.42,0.24,0.11,-0.06,0.27
107455,0.48,0.13,0.83,,,
107460,-1.28,-2.19,-0.37,,,
134140,,,,,,
136189,-1.07,-1.63,-0.5,,,
135866,-0.49,-1.29,0.32,-0.06,-0.25,0.13
130532,,,,,,
139433,-0.19,-0.48,0.1,,,
149531,,,,0.13,-0.05,0.31
136788,0.16,-0.16,0.47,-0.02,-0.24,0.2
139182,-0.48,-0.83,-0.13,0.59,0.36,0.81
136604,-0.26,-0.99,0.46,-0.49,-0.7,-0.29
141307,-0.18,-0.87,0.52,0.48,0.3,0.66
107583,,,,,,
136674,-1.03,-1.57,-0.49,-0.31,-0.51,-0.11
137424,,,,-0.06,-0.25,0.14
137352,-0.15,-0.72,0.42,0.75,0.59,0.9
141470,,,,-0.94,-1.16,-0.72
136283,-0.26,-0.49,-0.02,0.99,0.78,1.19
130538,-0.02,-0.12,0.08,,,
130539,-0.77,-1.03,-0.51,,,
108055,0.78,-0.02,1.58,-0.24,-0.43,-0.05
108057,0.35,0.02,0.68,1.14,0.94,1.35
108058,-0.01,-0.46,0.44,0.15,-0.04,0.33
146247,0.88,0.23,1.52,0.13,-0.07,0.33
108075,0.97,0.28,1.67,-0.68,-0.91,-0.45
108076,0.07,-0.21,0.35,0.74,0.56,0.91
141940,-0.59,-0.8,-0.38,,,
142604,-0.59,-1.11,-0.06,0.44,0.19,0.69
149755,0.71,0.41,1.02,,,
108079,-0.86,-1.33,-0.39,-0.39,-0.61,-0.18
138336,0.26,-0.43,0.96,0.16,-0.01,0.33
137383,0.74,0.39,1.09,0.58,0.42,0.75
108083,-0.27,-0.92,0.37,0.16,-0.04,0.35
108085,-0.15,-0.52,0.22,0.07,-0.13,0.27
136343,0.13,-0.3,0.56,0.47,0.3,0.64
143238,-0.43,-1.07,0.22,0.09,-0.11,0.29
146217,-0.33,-0.77,0.1,1.05,0.85,1.26
137775,0.1,-0.21,0.42,0.44,0.25,0.64
137704,0.58,0.23,0.93,0.44,0.26,0.61
139351,-0.06,-0.48,0.37,0.3,0.09,0.5
137083,0.01,-0.32,0.35,0.44,0.26,0.62
108104,-0.57,-1.48,0.34,,,
108113,0.22,-0.06,0.5,,,
108114,-0.07,-0.5,0.36,,,
108117,,,,,,
108119,,,,-1.2,-1.78,-0.61
130542,,,,,,
135771,-1.06,-1.59,-0.54,-1.45,-1.68,-1.21
130548,-0.31,-0.44,-0.17,,,
145938,,,,-0.11,-0.33,0.12
136462,0.43,-0.03,0.88,0.26,0.08,0.43
137011,,,,0.02,-0.15,0.2
138951,-0.14,-0.67,0.38,-0.02,-0.2,0.16
108300,-0.32,-1.23,0.59,,,
108303,0.41,-0.35,1.17,,,
108305,-0.44,-1.17,0.28,,,
108306,0.0,-0.36,0.36,,,
135961,0.18,-0.42,0.78,-0.02,-0.18,0.15
130549,-0.21,-0.69,0.27,,,
144732,0.23,0.07,0.38,,,
141185,0.13,-0.53,0.8,0.15,-0.05,0.35
147178,,,,-0.98,-1.18,-0.78
137942,0.44,-0.13,1.01,-0.04,-0.23,0.16
137360,0.22,-0.2,0.64,0.31,0.13,0.49
108410,,,,-0.71,-0.94,-0.48
137852,-0.57,-0.96,-0.18,0.68,0.49,0.87
137851,-0.39,-0.73,-0.04,0.13,-0.06,0.33
108420,-0.16,-0.53,0.21,0.52,0.32,0.71
130551,-0.24,-0.7,0.22,,,
145900,-0.3,-1.29,0.68,-0.94,-1.2,-0.69
146752,-0.49,-0.82,-0.16,0.46,0.29,0.63
148135,-1.26,-1.93,-0.59,-0.54,-0.71,-0.36
136352,0.17,-0.06,0.4,0.53,0.39,0.68
138120,0.45,-0.17,1.07,-0.69,-0.87,-0.51
140081,-0.28,-0.65,0.09,0.45,0.26,0.64
137900,-0.22,-0.68,0.25,-0.17,-0.38,0.04
137708,-0.66,-1.3,-0.01,-0.22,-0.42,-0.02
108538,-0.39,-1.08,0.31,,,
108542,,,,,,
108544,,,,,,
108547,0.22,-0.13,0.57,,,
108549,0.45,0.19,0.71,,,
135423,,,,-0.61,-0.82,-0.39
130552,-0.49,-0.74,-0.23,,,
139658,0.07,-0.36,0.49,0.9,0.64,1.16
108638,0.28,0.02,0.54,0.16,0.01,0.32
108639,-0.37,-1.17,0.43,-0.64,-0.85,-0.44
108640,,,,-0.65,-0.88,-0.42
108641,,,,-0.83,-1.05,-0.61
108642,,,,-0.47,-0.7,-0.24
108645,0.37,-0.62,1.35,-0.44,-0.67,-0.21
137734,-0.89,-1.29,-0.48,0.02,-0.16,0.2
135001,,,,,,
144204,-0.57,-0.94,-0.2,-0.3,-0.48,-0.12
139878,-0.74,-1.47,-0.02,-0.22,-0.42,-0.03
142601,-0.77,-1.26,-0.28,-0.35,-0.55,-0.16
136386,-0.22,-0.65,0.2,-0.44,-0.64,-0.23
130555,,,,,,
138103,0.33,-0.33,1.0,-0.26,-0.46,-0.07
139538,-0.37,-0.82,0.07,0.18,-0.07,0.44
147142,-0.36,-0.74,0.02,0.16,-0.03,0.35
138054,-0.96,-1.49,-0.44,-0.34,-0.53,-0.15
131347,-1.51,-1.77,-1.25,,,
142127,,,,-0.01,-0.43,0.41
146972,0.57,0.24,0.91,0.67,0.43,0.91
136966,-0.37,-0.83,0.08,0.48,0.28,0.68
136335,0.26,-0.19,0.7,0.12,-0.05,0.29
145482,-0.09,-0.59,0.41,-0.13,-0.34,0.08
138522,0.16,-0.18,0.49,0.14,-0.07,0.35
136311,-0.04,-1.02,0.94,0.09,-0.22,0.4
137548,-1.04,-1.69,-0.4,-0.07,-0.3,0.16
137523,-0.06,-0.45,0.33,0.68,0.47,0.88
109329,-0.33,-0.83,0.18,-0.03,-0.26,0.2
136483,0.03,-0.51,0.57,0.07,-0.15,0.28
109346,0.39,0.05,0.72,,,
109347,0.38,-0.07,0.83,,,
109348,-0.04,-0.81,0.72,,,
109360,0.33,-0.31,0.98,,,
109374,0.03,-0.26,0.32,,,
138147,0.07,-0.62,0.77,,,
136822,0.33,-0.01,0.67,0.09,-0.12,0.3
145398,,,,0.26,0.06,0.47
151303,-0.71,-1.25,-0.17,,,
137440,0.41,0.02,0.8,0.37,0.16,0.57
137627,-0.29,-0.63,0.05,0.14,-0.06,0.35
109327,0.41,0.14,0.69,-0.13,-0.33,0.08
138855,0.45,0.18,0.72,0.56,0.36,0.75
135589,0.44,0.21,0.66,,,
109334,-0.05,-0.4,0.3,,,
109335,0.2,-0.38,0.79,,,
109336,0.56,0.06,1.07,,,
109337,0.34,-0.25,0.92,,,
109369,0.12,-0.17,0.41,,,
109370,-0.19,-0.49,0.12,,,
109371,0.16,-0.48,0.8,,,
135575,-0.04,-0.33,0.25,0.38,0.14,0.63
131094,-0.19,-0.88,0.51,,,
130563,-0.57,-0.79,-0.36,,,
147350,-1.51,-2.23,-0.78,,,
136722,0.19,-0.16,0.55,0.13,-0.06,0.31
136856,0.34,-0.02,0.7,0.11,-0.04,0.27
137884,0.04,-0.55,0.62,-0.06,-0.25,0.14
138466,0.39,-0.18,0.96,0.03,-0.2,0.26
137000,0.11,-0.24,0.47,0.12,-0.07,0.3
142853,,,,-0.07,-0.3,0.15
109362,0.76,0.09,1.42,,,
130564,-0.63,-1.01,-0.26,,,
139067,-0.02,-0.49,0.45,0.06,-0.15,0.27
141665,0.31,-0.54,1.17,0.46,0.25,0.67
145135,-0.65,-1.56,0.26,-0.2,-0.46,0.05
145502,0.39,-0.02,0.79,-0.14,-0.31,0.04
137753,0.42,-0.04,0.87,0.26,0.03,0.48
139348,-0.21,-0.57,0.16,0.28,0.09,0.47
109319,-0.56,-1.22,0.11,0.21,-0.02,0.45
139345,-0.14,-0.64,0.37,0.2,0.0,0.4
148295,,,,-0.52,-0.8,-0.24
135295,0.02,-0.53,0.58,0.76,0.52,1.01
139238,0.15,-0.27,0.56,-2.2,-2.53,-1.88
140867,-0.02,-0.62,0.59,-0.66,-0.84,-0.48
142382,-1.1,-2.01,-0.19,-0.94,-1.13,-0.75
134223,-0.41,-0.95,0.12,-0.39,-0.59,-0.2
130908,0.12,-0.37,0.61,-0.25,-0.44,-0.07
130570,-0.03,-0.41,0.35,,,
138845,-0.39,-0.89,0.11,-0.61,-0.78,-0.43
145227,-0.33,-0.52,-0.14,,,
143063,-0.23,-0.54,0.08,-0.14,-0.33,0.05
139318,0.15,-0.27,0.57,-0.23,-0.42,-0.04
111768,,,,,,
111769,-0.15,-0.49,0.2,,,
130576,-0.78,-1.15,-0.41,,,
144766,-0.21,-0.53,0.1,0.34,0.13,0.55
144104,-0.24,-0.58,0.09,0.43,0.27,0.59
118131,0.29,-0.05,0.63,,,
135945,0.26,-0.59,1.11,-0.81,-1.0,-0.62
130580,-0.74,-1.18,-0.3,,,
130581,0.03,-0.12,0.19,,,
143854,1.1,0.41,1.8,0.04,-0.15,0.22
145722,-0.66,-1.57,0.25,-0.26,-0.5,-0.03
118072,0.14,-0.56,0.83,-0.01,-0.25,0.24
118073,0.25,-0.73,1.24,0.07,-0.18,0.32
137306,0.66,0.02,1.3,-0.53,-0.72,-0.34
136667,0.55,0.19,0.9,0.49,0.33,0.64
136921,,,,-0.26,-0.5,-0.03
143588,-0.56,-1.08,-0.03,0.37,0.16,0.58
118082,0.11,-0.55,0.78,-0.29,-0.5,-0.08
144561,0.18,-0.81,1.16,-0.35,-0.54,-0.17
118111,,,,-1.02,-1.25,-0.79
136995,0.45,-0.28,1.18,0.51,0.26,0.76
134821,0.29,-0.22,0.79,,,
118126,-0.59,-1.4,0.21,,,
118132,-0.42,-0.9,0.06,,,
136268,-0.9,-1.59,-0.2,-0.52,-0.67,-0.36
135294,,,,-0.34,-0.58,-0.1
130586,-0.14,-0.42,0.14,,,
142130,,,,-0.53,-0.86,-0.19
137453,,,,0.54,0.3,0.78
118112,,,,-0.38,-0.63,-0.14
130588,-0.44,-0.68,-0.2,,,
142884,-0.45,-1.44,0.53,-0.03,-0.39,0.34
144976,0.04,-0.77,0.84,0.53,0.27,0.79
146969,0.4,-0.45,1.25,-0.56,-0.78,-0.34
148602,0.26,-0.36,0.88,0.46,0.22,0.7
121666,0.45,-0.53,1.43,-0.04,-0.25,0.17
121667,,,,-0.26,-0.56,0.03
141930,-0.07,-0.5,0.37,0.09,-0.12,0.3
145090,-0.19,-0.72,0.33,0.31,0.11,0.51
150644,-0.21,-0.63,0.21,,,
136728,,,,-0.14,-0.41,0.12
136497,0.7,0.43,0.98,0.35,0.17,0.53
121687,-0.2,-0.82,0.42,0.0,-0.19,0.18
121689,0.82,-0.17,1.8,-0.07,-0.33,0.2
136736,0.27,-0.43,0.96,0.15,-0.02,0.32
145777,-0.08,-0.49,0.33,0.39,0.2,0.57
121694,0.16,-0.17,0.48,1.02,0.74,1.3
145819,-0.85,-1.44,-0.27,0.78,0.53,1.04
136664,-0.49,-0.93,-0.05,-0.3,-0.58,-0.02
121716,0.31,-0.02,0.64,0.87,0.6,1.14
148855,0.16,-0.31,0.63,0.46,0.27,0.66
